"","studentDist","studentTime","leader","clusters","ClustAlg","Catchment"
"1",670,14.45,TRUE,1,"kNN",1
"2",545,11.7,FALSE,1,"kNN",1
"3",521,11.2,FALSE,1,"kNN",1
"4",1103,24.08,TRUE,2,"kNN",1
"5",814,17.83,FALSE,2,"kNN",1
"6",484,10.37,TRUE,3,"kNN",1
"7",708,15.8,TRUE,4,"kNN",1
"8",606,13.65,FALSE,4,"kNN",1
"9",322,7.03,FALSE,4,"kNN",1
"10",493,11.07,TRUE,5,"kNN",1
"11",545,12.32,TRUE,6,"kNN",1
"12",780,17.45,TRUE,7,"kNN",1
"13",652,14.45,FALSE,7,"kNN",1
"14",580,12.77,FALSE,7,"kNN",1
"15",204,4.77,FALSE,7,"kNN",1
"16",887,19.83,TRUE,8,"kNN",1
"17",697,15.55,FALSE,8,"kNN",1
"18",539,12.1,FALSE,8,"kNN",1
"19",1132,24.98,TRUE,9,"kNN",1
"20",1129,24.92,FALSE,9,"kNN",1
"21",1107,24.53,FALSE,9,"kNN",1
"22",1003,22.1,FALSE,9,"kNN",1
"23",801,17.67,FALSE,9,"kNN",1
"24",759,16.67,FALSE,9,"kNN",1
"25",713,15.67,FALSE,9,"kNN",1
"26",643,15.02,TRUE,10,"kNN",1
"27",638,14.87,FALSE,10,"kNN",1
"28",683,15.85,TRUE,11,"kNN",1
"29",681,15.82,FALSE,11,"kNN",1
"30",679,15.77,FALSE,11,"kNN",1
"31",1421,31.45,TRUE,1,"kMeans",1
"32",579,13.5,FALSE,1,"kMeans",1
"33",2139,47.05,TRUE,2,"kMeans",1
"34",801,17.67,FALSE,2,"kMeans",1
"35",759,16.67,FALSE,2,"kMeans",1
"36",713,15.67,FALSE,2,"kMeans",1
"37",1746,38.57,TRUE,3,"kMeans",1
"38",631,14,FALSE,3,"kMeans",1
"39",1437,31.72,TRUE,4,"kMeans",1
"40",539,12.1,FALSE,4,"kMeans",1
"41",787,17.9,TRUE,5,"kMeans",1
"42",605,13.65,FALSE,5,"kMeans",1
"43",321,7.03,FALSE,5,"kMeans",1
"44",283,6.13,FALSE,5,"kMeans",1
"45",1841,40.8,TRUE,6,"kMeans",1
"46",684,15.88,FALSE,6,"kMeans",1
"47",681,15.83,FALSE,6,"kMeans",1
"48",1818,40.08,TRUE,7,"kMeans",1
"49",638,14.87,FALSE,7,"kMeans",1
"50",1112,24.2,TRUE,8,"kMeans",1
"51",647,14.9,FALSE,8,"kMeans",1
"52",625,14.52,FALSE,8,"kMeans",1
"53",1747,39.35,TRUE,9,"kMeans",1
"54",1109,24.38,FALSE,9,"kMeans",1
"55",804,17.73,FALSE,9,"kMeans",1
"56",515,11.22,FALSE,9,"kMeans",1
"57",1327,30.57,TRUE,10,"kMeans",1
"58",339,7.43,FALSE,10,"kMeans",1
"59",999,22.88,TRUE,11,"kMeans",1
"60",204,4.77,FALSE,11,"kMeans",1
"61",1132,25.23,TRUE,1,"Hier",1
"62",283,6.13,FALSE,1,"Hier",1
"63",1886,41.7,TRUE,2,"Hier",1
"64",631,14,FALSE,2,"Hier",1
"65",991,22,TRUE,3,"Hier",1
"66",339,7.43,FALSE,3,"Hier",1
"67",772,17.05,TRUE,4,"Hier",1
"68",204,4.77,FALSE,4,"Hier",1
"69",1642,36.78,TRUE,5,"Hier",1
"70",579,13.5,FALSE,5,"Hier",1
"71",1435,31.62,TRUE,6,"Hier",1
"72",539,12.1,FALSE,6,"Hier",1
"73",1466,32.67,TRUE,7,"Hier",1
"74",545,11.7,FALSE,7,"Hier",1
"75",521,11.2,FALSE,7,"Hier",1
"76",1342,30.13,TRUE,8,"Hier",1
"77",728,16.2,FALSE,8,"Hier",1
"78",429,9.58,FALSE,8,"Hier",1
"79",1080,24.07,TRUE,9,"Hier",1
"80",801,17.67,FALSE,9,"Hier",1
"81",759,16.67,FALSE,9,"Hier",1
"82",713,15.67,FALSE,9,"Hier",1
"83",722,16.17,TRUE,10,"Hier",1
"84",704,15.92,FALSE,10,"Hier",1
"85",701,15.87,FALSE,10,"Hier",1
"86",679,15.42,FALSE,10,"Hier",1
"87",642,14.68,FALSE,10,"Hier",1
"88",640,14.65,FALSE,10,"Hier",1
