"","clusterMethods","passT&D","passCap","leaderPoint","numDistVoil","maxDistVoil","schoolNameIndex"
"1","kNN","f","FALSE","9","4","352",1
"2","kMeans","f","FALSE","7","6","1784",1
"3","Hier","f","FALSE","7","3","1955",1
"4","Fuzzy","f","FALSE","7","2","117",1
"5","VRP","p","FALSE","10","0","0",1
"6","kNN","f","FALSE","10","10","993",2
"7","kMeans","f","FALSE","9","5","507",2
"8","Hier","f","FALSE","13","6","728",2
"9","Fuzzy","f","FALSE","10","5","1283",2
"10","VRP","f","FALSE","5","7","7425",2
"11","kNN","f","FALSE","7","6","622",3
"12","kMeans","f","FALSE","6","3","619",3
"13","Hier","f","FALSE","6","4","770",3
"14","Fuzzy","f","FALSE","6","2","361",3
"15","VRP","f","FALSE","11","3","397",3
"16","kNN","f","FALSE","9","4","272",4
"17","kMeans","f","TRUE","0","4","569",4
"18","Hier","f","FALSE","6","4","820",4
"19","Fuzzy","f","FALSE","8","2","271",4
"20","VRP","f","FALSE","8","4","171",4
"21","kNN","f","FALSE","13","7","1345",5
"22","kMeans","f","FALSE","7","2","442",5
"23","Hier","f","FALSE","7","2","756",5
"24","Fuzzy","f","FALSE","7","2","312",5
"25","VRP","f","FALSE","9","9","548",5
"26","kNN","p","FALSE","9","0","0",6
"27","kMeans","f","TRUE","0","1","188",6
"28","Hier","f","FALSE","6","1","188",6
"29","Fuzzy","p","FALSE","6","0","0",6
"30","VRP","f","FALSE","8","3","252",6
"31","kNN","f","FALSE","12","6","922",7
"32","kMeans","f","FALSE","7","3","740",7
"33","Hier","f","FALSE","10","3","740",7
"34","Fuzzy","f","FALSE","7","1","382",7
"35","VRP","f","FALSE","8","8","568",7
"36","kNN","f","FALSE","11","2","291",8
"37","kMeans","f","FALSE","7","4","814",8
"38","Hier","f","FALSE","8","3","428",8
"39","Fuzzy","f","FALSE","8","1","416",8
"40","VRP","f","FALSE","12","6","1744",8
"41","kNN","f","FALSE","7","7","1826",9
"42","kMeans","f","FALSE","7","10","1598",9
"43","Hier","f","FALSE","7","6","1598",9
"44","Fuzzy","f","FALSE","7","2","1598",9
"45","VRP","f","FALSE","6","9","829",9
"46","kNN","f","FALSE","14","9","1418",10
"47","kMeans","f","FALSE","12","9","1075",10
"48","Hier","f","FALSE","14","13","1759",10
"49","Fuzzy","f","FALSE","13","10","1175",10
"50","VRP","f","FALSE","10","4","667",10
