"","studentDist","studentTime","leader","clusters","schoolNameIndex"
"1",1613,34.82,TRUE,1,1
"2",1517,32.78,FALSE,1,1
"3",1335,28.87,FALSE,1,1
"4",983,21.27,FALSE,1,1
"5",833,18.3,FALSE,1,1
"6",733,15.95,FALSE,1,1
"7",652,14.2,FALSE,1,1
"8",529,11.42,FALSE,1,1
"9",526,11.35,FALSE,1,1
"10",522,11.23,FALSE,1,1
"11",304,6.7,FALSE,1,1
"12",216,4.43,TRUE,2,1
"13",203,4.48,TRUE,3,1
"14",431,9.08,TRUE,4,1
"15",170,3.77,FALSE,4,1
"16",939,20.02,TRUE,5,1
"17",905,19.1,FALSE,5,1
"18",780,16.82,FALSE,5,1
"19",763,16.5,FALSE,5,1
"20",498,10.32,FALSE,5,1
"21",61,1.53,FALSE,5,1
"22",716,15.38,TRUE,6,1
"23",586,12.47,FALSE,6,1
"24",433,9.08,FALSE,6,1
"25",387,8.1,FALSE,6,1
"26",1291,27.72,TRUE,7,1
"27",960,20.38,FALSE,7,1
"28",769,15.77,FALSE,7,1
"29",273,5.65,FALSE,7,1
"30",196,4.3,FALSE,7,1
"31",690,13.82,TRUE,1,2
"32",654,12.85,FALSE,1,2
"33",584,11.47,FALSE,1,2
"34",409,7.82,FALSE,1,2
"35",9035,195.33,TRUE,2,2
"36",8747,188.22,FALSE,2,2
"37",8437,181.48,FALSE,2,2
"38",7966,170.72,FALSE,2,2
"39",4389,92.87,FALSE,2,2
"40",40,0.87,FALSE,2,2
"41",1822,42.13,TRUE,3,2
"42",1557,36.22,FALSE,3,2
"43",1519,35.4,FALSE,3,2
"44",1275,29.82,FALSE,3,2
"45",356,8.68,FALSE,3,2
"46",1671,35.03,TRUE,4,2
"47",1380,28.22,FALSE,4,2
"48",900,17.83,FALSE,4,2
"49",801,15.92,FALSE,4,2
"50",736,17.63,TRUE,5,2
"51",938,22.1,TRUE,6,2
"52",923,21.73,FALSE,6,2
"53",920,21.67,FALSE,6,2
"54",756,18.1,FALSE,6,2
"55",1427,32.63,TRUE,7,2
"56",1411,32.28,FALSE,7,2
"57",1101,24.48,FALSE,7,2
"58",918,20.53,FALSE,7,2
"59",707,16.25,FALSE,7,2
"60",373,8.97,FALSE,7,2
"61",360,7.98,TRUE,1,3
"62",336,7.38,FALSE,1,3
"63",270,5.82,FALSE,1,3
"64",267,5.75,FALSE,1,3
"65",236,5.03,FALSE,1,3
"66",284,6.22,TRUE,2,3
"67",1950,42.3,TRUE,3,3
"68",1499,33.08,FALSE,3,3
"69",1301,29.12,FALSE,3,3
"70",883,20.1,FALSE,3,3
"71",745,17.08,FALSE,3,3
"72",507,11.28,FALSE,3,3
"73",2007,44.53,TRUE,4,3
"74",1979,43.8,FALSE,4,3
"75",1551,35.13,FALSE,4,3
"76",1535,34.82,FALSE,4,3
"77",1469,33.33,FALSE,4,3
"78",1407,31.9,FALSE,4,3
"79",1393,31.57,FALSE,4,3
"80",1391,31.52,FALSE,4,3
"81",1381,31.27,FALSE,4,3
"82",756,16.67,FALSE,4,3
"83",326,7.03,FALSE,4,3
"84",182,3.88,FALSE,4,3
"85",1083,22.98,TRUE,5,3
"86",991,21.25,FALSE,5,3
"87",535,11.53,FALSE,5,3
"88",311,6.88,FALSE,5,3
"89",248,5.45,FALSE,5,3
"90",282,6.05,TRUE,6,3
"91",1625,36.68,TRUE,1,4
"92",1437,32.27,FALSE,1,4
"93",1142,26.25,FALSE,1,4
"94",939,21.32,FALSE,1,4
"95",892,20.1,FALSE,1,4
"96",791,17.55,FALSE,1,4
"97",664,14.6,FALSE,1,4
"98",610,13.33,FALSE,1,4
"99",363,7.6,FALSE,1,4
"100",1781,38.05,TRUE,2,4
"101",1767,37.75,FALSE,2,4
"102",1702,36.52,FALSE,2,4
"103",1594,34.15,FALSE,2,4
"104",1328,28.02,FALSE,2,4
"105",956,19.78,FALSE,2,4
"106",759,15.97,FALSE,2,4
"107",496,11.18,TRUE,3,4
"108",345,8.08,FALSE,3,4
"109",1162,26.2,TRUE,4,4
"110",1014,22.73,FALSE,4,4
"111",559,12.8,FALSE,4,4
"112",354,7.53,FALSE,4,4
"113",836,17.77,TRUE,5,4
"114",779,16.32,FALSE,5,4
"115",347,7.35,TRUE,6,4
"116",802,18.17,TRUE,7,4
"117",654,14.65,FALSE,7,4
"118",271,6.7,FALSE,7,4
"119",1132,25.68,TRUE,8,4
"120",779,17.67,FALSE,8,4
"121",1239,27.43,TRUE,1,5
"122",1075,23.68,FALSE,1,5
"123",1039,22.8,FALSE,1,5
"124",426,9.3,FALSE,1,5
"125",327,7.27,FALSE,1,5
"126",1193,25.85,TRUE,2,5
"127",338,8.03,FALSE,2,5
"128",1973,42.77,TRUE,3,5
"129",1797,38.68,FALSE,3,5
"130",1648,35.15,FALSE,3,5
"131",1471,30.72,FALSE,3,5
"132",1189,24.17,FALSE,3,5
"133",1040,20.53,FALSE,3,5
"134",749,15.15,FALSE,3,5
"135",495,9.98,FALSE,3,5
"136",437,9,TRUE,4,5
"137",184,4.05,FALSE,4,5
"138",316,7.25,TRUE,5,5
"139",197,4.43,FALSE,5,5
"140",2158,48.02,TRUE,6,5
"141",2013,45,FALSE,6,5
"142",1873,41.65,FALSE,6,5
"143",1643,35.85,FALSE,6,5
"144",1641,35.8,FALSE,6,5
"145",1640,35.78,FALSE,6,5
"146",1285,28.18,FALSE,6,5
"147",1203,26.4,FALSE,6,5
"148",970,21.52,FALSE,6,5
"149",706,15.92,FALSE,6,5
"150",193,4.68,FALSE,6,5
"151",1825,41.05,TRUE,1,6
"152",1658,37.37,FALSE,1,6
"153",1271,28.45,FALSE,1,6
"154",1146,25.73,FALSE,1,6
"155",1078,24.12,FALSE,1,6
"156",1066,23.83,FALSE,1,6
"157",938,21.15,FALSE,1,6
"158",425,9.6,FALSE,1,6
"159",298,6.92,FALSE,1,6
"160",479,10.75,TRUE,2,6
"161",1862,41.32,TRUE,3,6
"162",1294,28.93,FALSE,3,6
"163",1206,26.88,FALSE,3,6
"164",855,18.88,FALSE,3,6
"165",747,16.33,FALSE,3,6
"166",681,14.78,FALSE,3,6
"167",478,10.08,FALSE,3,6
"168",172,3.77,FALSE,3,6
"169",886,19.55,TRUE,4,6
"170",694,15.5,FALSE,4,6
"171",647,14.57,FALSE,4,6
"172",1531,33.63,TRUE,5,6
"173",1381,30.43,FALSE,5,6
"174",933,20.4,FALSE,5,6
"175",843,18.38,FALSE,5,6
"176",593,13.12,FALSE,5,6
"177",1453,32.17,TRUE,6,6
"178",1230,27.08,FALSE,6,6
"179",603,13.27,FALSE,6,6
"180",489,10.53,FALSE,6,6
"181",393,7.97,TRUE,1,7
"182",2175,45.03,TRUE,2,7
