"","studentDist","studentTime","leader","ClustAlg","Catchment"
"1",3503,76.67,TRUE,"kNN",1
"2",3479,76.12,FALSE,"kNN",1
"3",3117,68.28,FALSE,"kNN",1
"4",3109,68.12,FALSE,"kNN",1
"5",2746,60.22,FALSE,"kNN",1
"6",2745,60.2,FALSE,"kNN",1
"7",2343,51.28,FALSE,"kNN",1
"8",1301,27.82,FALSE,"kNN",1
"9",3265,72,TRUE,"kNN",1
"10",3161,69.63,FALSE,"kNN",1
"11",3108,68.4,FALSE,"kNN",1
"12",3092,68.07,FALSE,"kNN",1
"13",2303,50.17,FALSE,"kNN",1
"14",1464,31.97,FALSE,"kNN",1
"15",1464,31.97,FALSE,"kNN",1
"16",1464,31.97,FALSE,"kNN",1
"17",2316,50.52,TRUE,"kNN",1
"18",2211,48.27,FALSE,"kNN",1
"19",1695,36.85,FALSE,"kNN",1
"20",1022,22.57,FALSE,"kNN",1
"21",747,16.38,FALSE,"kNN",1
"22",702,16.17,TRUE,"kNN",1
"23",679,15.77,FALSE,"kNN",1
"24",695,16.15,TRUE,"kNN",1
"25",597,13.92,FALSE,"kNN",1
"26",802,17.58,TRUE,"kNN",1
"27",794,17.4,FALSE,"kNN",1
"28",783,17.12,FALSE,"kNN",1
"29",731,16.03,FALSE,"kNN",1
"30",703,15.48,FALSE,"kNN",1
"31",3378,74,TRUE,"kMeans",1
"32",2746,60.22,FALSE,"kMeans",1
"33",2745,60.2,FALSE,"kMeans",1
"34",2343,51.28,FALSE,"kMeans",1
"35",1301,27.82,FALSE,"kMeans",1
"36",944,21.15,TRUE,"kMeans",1
"37",903,20.2,FALSE,"kMeans",1
"38",541,12.37,FALSE,"kMeans",1
"39",533,12.2,FALSE,"kMeans",1
"40",349,7.67,FALSE,"kMeans",1
"41",335,7.33,FALSE,"kMeans",1
"42",281,6.1,FALSE,"kMeans",1
"43",1185,25.23,TRUE,"kMeans",1
"44",1080,22.98,FALSE,"kMeans",1
"45",1003,21.2,FALSE,"kMeans",1
"46",979,20.65,FALSE,"kMeans",1
"47",945,19.85,FALSE,"kMeans",1
"48",934,19.57,FALSE,"kMeans",1
"49",548,11.33,FALSE,"kMeans",1
"50",3021,67.27,TRUE,"kMeans",1
"51",1464,31.97,FALSE,"kMeans",1
"52",1464,31.97,FALSE,"kMeans",1
"53",1464,31.97,FALSE,"kMeans",1
"54",1572,35.97,TRUE,"kMeans",1
"55",1012,22.47,FALSE,"kMeans",1
"56",737,16.28,FALSE,"kMeans",1
"57",628,13.68,FALSE,"kMeans",1
"58",1115,23.98,TRUE,"kMeans",1
"59",680,15.78,FALSE,"kMeans",1
"60",597,13.92,FALSE,"kMeans",1
"61",3075,67.65,TRUE,"Hier",1
"62",2303,50.17,FALSE,"Hier",1
"63",2179,47.57,FALSE,"Hier",1
"64",1464,31.97,FALSE,"Hier",1
"65",1464,31.97,FALSE,"Hier",1
"66",1464,31.97,FALSE,"Hier",1
"67",3396,74.42,TRUE,"Hier",1
"68",2746,60.23,FALSE,"Hier",1
"69",2745,60.22,FALSE,"Hier",1
"70",1301,27.82,FALSE,"Hier",1
"71",1276,27.75,TRUE,"Hier",1
"72",814,17.43,FALSE,"Hier",1
"73",461,9.8,FALSE,"Hier",1
"74",1768,40.12,TRUE,"Hier",1
"75",943,20.95,FALSE,"Hier",1
"76",890,19.72,FALSE,"Hier",1
"77",874,19.38,FALSE,"Hier",1
"78",658,14.85,FALSE,"Hier",1
"79",651,14.68,FALSE,"Hier",1
"80",314,6.85,FALSE,"Hier",1
"81",1310,28.75,TRUE,"Hier",1
"82",1279,28.27,FALSE,"Hier",1
"83",1196,26.4,FALSE,"Hier",1
"84",929,20.55,FALSE,"Hier",1
"85",852,18.77,FALSE,"Hier",1
"86",828,18.22,FALSE,"Hier",1
"87",794,17.42,FALSE,"Hier",1
"88",783,17.13,FALSE,"Hier",1
"89",1351,29.67,TRUE,"Hier",1
"90",476,10.22,FALSE,"Hier",1
"91",3378,74.02,TRUE,"Fuzzy",1
