,x,y,region,leader,clusters,,,,,,
1,-123.0571375,49.21607567,David Oppenheimer Elementary,FALSE,1,,,,,,
2,-123.0554824,49.21678168,David Oppenheimer Elementary,FALSE,5,V1,V2,V3,V4,V5,V6
3,-123.0557527,49.21656383,David Oppenheimer Elementary,FALSE,5,Customer 16,Customer 28,Customer 19,Customer 18,Customer 4,Customer 15
4,-123.0636082,49.21452839,David Oppenheimer Elementary,TRUE,1,Customer 12,Customer 22,Customer 2,Customer 9,,Customer 17
5,-123.0721405,49.21097589,David Oppenheimer Elementary,FALSE,1,Customer 13,Customer 21,Customer 3,,,Customer 7
6,-123.07218,49.21097692,David Oppenheimer Elementary,FALSE,1,Customer 11,Customer 20,Customer 1,,,Customer 8
7,-123.0745974,49.20924036,David Oppenheimer Elementary,FALSE,1,Customer 10,Customer 29,Customer 24,,,Customer 5
8,-123.0740296,49.20916644,David Oppenheimer Elementary,FALSE,1,,Customer 27,Customer 23,,,Customer 6
9,-123.0560019,49.21067238,David Oppenheimer Elementary,FALSE,4,,Customer 26,,,,Customer 14
10,-123.0622764,49.20882451,David Oppenheimer Elementary,FALSE,2,,Customer 25,,,,Customer 30
11,-123.0653135,49.21003807,David Oppenheimer Elementary,FALSE,1,,,,,,
12,-123.0641166,49.20884969,David Oppenheimer Elementary,FALSE,2,,,,,,
13,-123.066251,49.20874506,David Oppenheimer Elementary,FALSE,2,,,,,,
14,-123.0675575,49.20991539,David Oppenheimer Elementary,FALSE,1,,,,,,
15,-123.0608054,49.2058808,David Oppenheimer Elementary,TRUE,2,,,,,,
16,-123.0594415,49.20579342,David Oppenheimer Elementary,TRUE,3,,,,,,
17,-123.0657288,49.20638334,David Oppenheimer Elementary,FALSE,2,,,,,,
18,-123.0523239,49.20940968,David Oppenheimer Elementary,TRUE,4,,,,,,
19,-123.049171,49.21814499,David Oppenheimer Elementary,TRUE,5,,,,,,
20,-123.0422916,49.20591758,David Oppenheimer Elementary,FALSE,6,,,,,,
21,-123.0421483,49.20878823,David Oppenheimer Elementary,FALSE,6,,,,,,
22,-123.0415385,49.21492598,David Oppenheimer Elementary,FALSE,6,,,,,,
23,-123.0576372,49.21437179,David Oppenheimer Elementary,FALSE,1,,,,,,
24,-123.0565853,49.21504496,David Oppenheimer Elementary,FALSE,1,,,,,,
25,-123.052621,49.20730356,David Oppenheimer Elementary,FALSE,4,,,,,,
26,-123.0505208,49.20626564,David Oppenheimer Elementary,FALSE,4,,,,,,
27,-123.0452092,49.20717815,David Oppenheimer Elementary,FALSE,6,,,,,,
28,-123.0443421,49.20777151,David Oppenheimer Elementary,TRUE,6,,,,,,
29,-123.0446889,49.20532645,David Oppenheimer Elementary,FALSE,6,,,,,,
30,-123.0660553,49.21222119,David Oppenheimer Elementary,FALSE,1,,,,,,
