,x,y,region,leader,clusters,V1,V2,V3,V4,V5,V6,V7,V8
1,-123.0314857,49.27735853,Dr A R Lord Elementary,FALSE,8,Customer 6,Customer 29,Customer 12,Customer 2,Customer 26,Customer 10,Customer 19,Customer 25
2,-123.0328746,49.27674608,Dr A R Lord Elementary,TRUE,1,Customer 4,Customer 30,,Customer 7,,Customer 11,Customer 17,Customer 24
3,-123.0351351,49.27579618,Dr A R Lord Elementary,FALSE,2,Customer 8,Customer 28,,Customer 3,,Customer 9,Customer 18,Customer 21
4,-123.036901,49.27537647,Dr A R Lord Elementary,FALSE,2,,,,Customer 27,,Customer 22,Customer 15,
5,-123.0361493,49.27579684,Dr A R Lord Elementary,FALSE,2,,,,Customer 5,,Customer 23,Customer 16,
6,-123.0363538,49.27537872,Dr A R Lord Elementary,TRUE,2,,,,Customer 1,,,Customer 20,
7,-123.0341471,49.27579578,Dr A R Lord Elementary,FALSE,1,,,,,,,Customer 14,
8,-123.0381996,49.27537161,Dr A R Lord Elementary,FALSE,7,,,,,,,Customer 13,
9,-123.0450303,49.27537114,Dr A R Lord Elementary,FALSE,3,,,,,,,,
10,-123.0454643,49.27536147,Dr A R Lord Elementary,TRUE,3,,,,,,,,
11,-123.045281,49.27536206,Dr A R Lord Elementary,FALSE,3,,,,,,,,
12,-123.0464843,49.28034758,Dr A R Lord Elementary,TRUE,4,,,,,,,,
13,-123.0474328,49.28105261,Dr A R Lord Elementary,FALSE,4,,,,,,,,
14,-123.0488692,49.28112144,Dr A R Lord Elementary,FALSE,5,,,,,,,,
15,-123.0536551,49.27940626,Dr A R Lord Elementary,FALSE,5,,,,,,,,
16,-123.0523121,49.27973162,Dr A R Lord Elementary,FALSE,5,,,,,,,,
17,-123.0541652,49.27866635,Dr A R Lord Elementary,FALSE,5,,,,,,,,
18,-123.0548587,49.27891942,Dr A R Lord Elementary,FALSE,5,,,,,,,,
19,-123.0471587,49.27959025,Dr A R Lord Elementary,TRUE,5,,,,,,,,
20,-123.050949,49.28069367,Dr A R Lord Elementary,FALSE,5,,,,,,,,
21,-123.0467571,49.27865541,Dr A R Lord Elementary,FALSE,5,,,,,,,,
22,-123.0452846,49.27626666,Dr A R Lord Elementary,FALSE,3,,,,,,,,
23,-123.0440764,49.27720897,Dr A R Lord Elementary,FALSE,3,,,,,,,,
24,-123.0468481,49.27571767,Dr A R Lord Elementary,FALSE,6,,,,,,,,
25,-123.0468449,49.27576754,Dr A R Lord Elementary,TRUE,6,,,,,,,,
26,-123.0384038,49.27718265,Dr A R Lord Elementary,TRUE,7,,,,,,,,
27,-123.0361063,49.27580393,Dr A R Lord Elementary,FALSE,2,,,,,,,,
28,-123.0360859,49.27821403,Dr A R Lord Elementary,FALSE,7,,,,,,,,
29,-123.0323673,49.27838723,Dr A R Lord Elementary,TRUE,8,,,,,,,,
30,-123.0340442,49.2774961,Dr A R Lord Elementary,FALSE,1,,,,,,,,
