,x,y,region,leader,clusters,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,-123.0903617,49.23854561,General Brock Elementary,FALSE,1,Customer 10,Customer 22,Customer 29,Customer 27,Customer 3,Customer 26,Customer 25,Customer 12,Customer 23,Customer 16
2,-123.0903439,49.24014217,General Brock Elementary,FALSE,1,Customer 11,Customer 15,Customer 28,,Customer 2,Customer 14,,,Customer 17,Customer 24
3,-123.0903606,49.23916472,General Brock Elementary,TRUE,1,,Customer 13,Customer 30,,Customer 4,,,,,Customer 21
4,-123.0903791,49.23940147,General Brock Elementary,FALSE,1,,,Customer 8,,Customer 1,,,,,
5,-123.0904065,49.2379453,General Brock Elementary,FALSE,1,,,,,Customer 5,,,,,
6,-123.0904266,49.23570691,General Brock Elementary,FALSE,1,,,,,Customer 6,,,,,
7,-123.0904114,49.23610314,General Brock Elementary,FALSE,1,,,,,Customer 7,,,,,
8,-123.1006697,49.24043024,General Brock Elementary,FALSE,9,,,,,Customer 19,,,,,
9,-123.0998959,49.2392016,General Brock Elementary,FALSE,2,,,,,Customer 20,,,,,
10,-123.102137,49.23726586,General Brock Elementary,TRUE,2,,,,,Customer 18,,,,,
11,-123.1020695,49.23725995,General Brock Elementary,FALSE,2,,,,,Customer 9,,,,,
12,-123.097823,49.24566309,General Brock Elementary,TRUE,3,,,,,,,,,,
13,-123.10034,49.24446428,General Brock Elementary,FALSE,3,,,,,,,,,,
14,-123.1007775,49.24151196,General Brock Elementary,FALSE,9,,,,,,,,,,
15,-123.0960219,49.24488324,General Brock Elementary,FALSE,5,,,,,,,,,,
16,-123.0948987,49.24546914,General Brock Elementary,TRUE,4,,,,,,,,,,
17,-123.0961245,49.24176844,General Brock Elementary,FALSE,4,,,,,,,,,,
18,-123.0969451,49.23606324,General Brock Elementary,FALSE,2,,,,,,,,,,
19,-123.0948554,49.23799782,General Brock Elementary,FALSE,1,,,,,,,,,,
20,-123.09598,49.23739953,General Brock Elementary,FALSE,1,,,,,,,,,,
21,-123.0935512,49.24561691,General Brock Elementary,FALSE,4,,,,,,,,,,
22,-123.0956546,49.24565218,General Brock Elementary,TRUE,5,,,,,,,,,,
23,-123.0952039,49.2456353,General Brock Elementary,TRUE,6,,,,,,,,,,
24,-123.0901977,49.24556124,General Brock Elementary,FALSE,4,,,,,,,,,,
25,-123.1047592,49.24057128,General Brock Elementary,TRUE,7,,,,,,,,,,
26,-123.104183,49.24055795,General Brock Elementary,TRUE,8,,,,,,,,,,
27,-123.1037002,49.24055805,General Brock Elementary,TRUE,9,,,,,,,,,,
28,-123.104726,49.23820043,General Brock Elementary,FALSE,10,,,,,,,,,,
29,-123.105315,49.23772064,General Brock Elementary,TRUE,10,,,,,,,,,,
30,-123.1045532,49.24043736,General Brock Elementary,FALSE,7,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,49.24149,-123.1007,,,,,,,,,,,,,
