,x,y,leader,clusters,V1,V2,V3,V4,V5,V6,V7,V8
1,-123.0889486,49.22490498,TRUE,1,Customer 5,Customer 11,Customer 23,Customer 1,Customer 28,Customer 26,Customer 21,Customer 25
2,-123.0860787,49.22515287,FALSE,1,Customer 16,Customer 9,Customer 7,Customer 2,Customer 27,,Customer 22,Customer 24
3,-123.097066,49.22604338,FALSE,2,Customer 17,Customer 30,,Customer 4,,,Customer 6,
4,-123.0927125,49.2259182,FALSE,2,Customer 19,Customer 8,,Customer 3,,,,
5,-123.0953304,49.22712131,TRUE,2,Customer 18,Customer 10,,,,,,
6,-123.0915709,49.22300079,FALSE,5,Customer 15,Customer 20,,,,,,
7,-123.0917067,49.2220159,FALSE,5,Customer 12,Customer 29,,,,,,
8,-123.1013034,49.21882897,FALSE,3,Customer 13,,,,,,,
9,-123.1017951,49.21817982,FALSE,3,Customer 14,,,,,,,
10,-123.0981066,49.21781074,FALSE,3,,,,,,,,
11,-123.1019814,49.21834547,TRUE,3,,,,,,,,
12,-123.1001099,49.22683301,FALSE,2,,,,,,,,
13,-123.1012211,49.22658977,FALSE,2,,,,,,,,
14,-123.1016866,49.22379657,FALSE,3,,,,,,,,
15,-123.0996757,49.2277498,FALSE,2,,,,,,,,
16,-123.0981047,49.22732203,FALSE,2,,,,,,,,
17,-123.0947319,49.22818995,FALSE,2,,,,,,,,
18,-123.0990762,49.22894873,FALSE,2,,,,,,,,
19,-123.0980843,49.22869702,FALSE,2,,,,,,,,
20,-123.0927841,49.21655362,FALSE,8,,,,,,,,
21,-123.086824,49.219813,TRUE,4,,,,,,,,
22,-123.0897233,49.21989613,FALSE,5,,,,,,,,
23,-123.0907458,49.22075327,TRUE,5,,,,,,,,
24,-123.085024,49.22080347,FALSE,6,,,,,,,,
25,-123.0863654,49.22143879,TRUE,6,,,,,,,,
26,-123.0938957,49.22023258,TRUE,7,,,,,,,,
27,-123.0947143,49.21749611,FALSE,8,,,,,,,,
28,-123.0935109,49.21767385,TRUE,8,,,,,,,,
29,-123.0922563,49.21788782,FALSE,8,,,,,,,,
30,-123.1019454,49.2188508,FALSE,3,,,,,,,,
