,x,y,region,leader,clusters,V1,V2,V3
1,-123.0481948,49.27273863,Lord Nelson Elementary,FALSE,2,Customer 30,Customer 18,Customer 25
2,-123.0471715,49.26970328,Lord Nelson Elementary,FALSE,2,Customer 15,Customer 17,Customer 24
3,-123.0489596,49.2700478,Lord Nelson Elementary,FALSE,2,Customer 14,Customer 10,Customer 3
4,-123.0562745,49.27327396,Lord Nelson Elementary,FALSE,3,Customer 16,Customer 20,Customer 2
5,-123.0550793,49.27187435,Lord Nelson Elementary,FALSE,3,Customer 29,Customer 19,Customer 11
6,-123.0555298,49.2719554,Lord Nelson Elementary,FALSE,3,Customer 12,Customer 9,Customer 1
7,-123.0520318,49.27648237,Lord Nelson Elementary,FALSE,2,Customer 13,,Customer 26
8,-123.0536887,49.27688296,Lord Nelson Elementary,FALSE,2,Customer 28,,Customer 7
9,-123.063872,49.27237342,Lord Nelson Elementary,FALSE,1,Customer 27,,Customer 21
10,-123.0685879,49.27265032,Lord Nelson Elementary,FALSE,1,Customer 5,,Customer 8
11,-123.0475976,49.26956779,Lord Nelson Elementary,FALSE,2,Customer 6,,Customer 22
12,-123.058522,49.26731711,Lord Nelson Elementary,FALSE,3,Customer 4,,Customer 23
13,-123.0575801,49.27047407,Lord Nelson Elementary,FALSE,3,,,
14,-123.0601252,49.26850097,Lord Nelson Elementary,FALSE,3,,,
15,-123.0599896,49.2685845,Lord Nelson Elementary,FALSE,3,,,
16,-123.0612144,49.2680603,Lord Nelson Elementary,FALSE,3,,,
17,-123.065802,49.26979352,Lord Nelson Elementary,FALSE,1,,,
18,-123.0672249,49.2695913,Lord Nelson Elementary,TRUE,1,,,
19,-123.0656076,49.2774983,Lord Nelson Elementary,FALSE,1,,,
20,-123.0656077,49.27754166,Lord Nelson Elementary,FALSE,1,,,
21,-123.052562,49.27758987,Lord Nelson Elementary,FALSE,2,,,
22,-123.0577301,49.27804971,Lord Nelson Elementary,FALSE,2,,,
23,-123.0578083,49.27785944,Lord Nelson Elementary,FALSE,2,,,
24,-123.0498728,49.27631665,Lord Nelson Elementary,FALSE,2,,,
25,-123.0510372,49.27589879,Lord Nelson Elementary,TRUE,2,,,
26,-123.0514275,49.27580504,Lord Nelson Elementary,FALSE,2,,,
27,-123.0554638,49.26951852,Lord Nelson Elementary,FALSE,3,,,
28,-123.0560311,49.2695142,Lord Nelson Elementary,FALSE,3,,,
29,-123.0593213,49.26817408,Lord Nelson Elementary,FALSE,3,,,
30,-123.0580875,49.26881448,Lord Nelson Elementary,TRUE,3,,,
,,,,,,,,
,,,,,,,,
,,49.2726,-123.0592,,,,,
