,x,y,leader,clusters,V1,V2,V3,V4,V5,V6
1,-123.065638,49.27559595,FALSE,6,Customer 12,Customer 30,Customer 16,Customer 27,Customer 8,Customer 4
2,-123.0656838,49.27335194,FALSE,2,Customer 19,Customer 29,Customer 18,Customer 28,Customer 5,Customer 13
3,-123.0662143,49.27340004,FALSE,2,Customer 7,Customer 1,,Customer 26,Customer 10,
4,-123.0707905,49.27260469,TRUE,1,Customer 9,Customer 3,,,,
5,-123.0711097,49.27214813,FALSE,1,Customer 11,Customer 2,,,,
6,-123.0671177,49.27414145,FALSE,2,Customer 15,Customer 6,,,,
7,-123.0696102,49.27000908,FALSE,2,Customer 21,Customer 14,,,,
8,-123.0702321,49.27200747,TRUE,2,Customer 22,,,,,
9,-123.0713051,49.27088579,FALSE,3,Customer 20,,,,,
10,-123.0727822,49.27221368,FALSE,3,Customer 17,,,,,
11,-123.0727399,49.27176428,FALSE,3,Customer 24,,,,,
12,-123.0721434,49.27053161,TRUE,3,Customer 23,,,,,
13,-123.0721403,49.27333807,FALSE,1,Customer 25,,,,,
14,-123.0743551,49.27317591,FALSE,3,,,,,,
15,-123.073994,49.27096474,FALSE,3,,,,,,
16,-123.0773501,49.27113313,TRUE,4,,,,,,
17,-123.0770688,49.27001293,FALSE,4,,,,,,
18,-123.0754331,49.27338886,FALSE,4,,,,,,
19,-123.0720172,49.27049115,FALSE,3,,,,,,
20,-123.0749997,49.26962703,FALSE,4,,,,,,
21,-123.0735797,49.26961138,FALSE,3,,,,,,
22,-123.074019,49.26962376,FALSE,3,,,,,,
23,-123.0772682,49.27631189,FALSE,4,,,,,,
24,-123.0772702,49.27616518,FALSE,4,,,,,,
25,-123.0748572,49.27673494,FALSE,5,,,,,,
26,-123.0739324,49.27672767,FALSE,5,,,,,,
27,-123.0697642,49.27728689,TRUE,5,,,,,,
28,-123.0723174,49.27669871,FALSE,5,,,,,,
29,-123.0668379,49.27784548,FALSE,6,,,,,,
30,-123.0664128,49.27833063,TRUE,6,,,,,,
