,x,y,region,leader,clusters,V1,V2,V3,V4,V5,V6,V7
1,-123.1395837,49.23445797,Quilchena Elementary,FALSE,5,Customer 9,Customer 25,Customer 28,Customer 23,Customer 13,Customer 4,Customer 18
2,-123.139584,49.23439002,Quilchena Elementary,FALSE,5,Customer 8,Customer 24,Customer 27,Customer 1,,Customer 6,
3,-123.1489501,49.23451569,Quilchena Elementary,FALSE,1,,Customer 16,,Customer 2,,Customer 7,
4,-123.1464139,49.23449081,Quilchena Elementary,TRUE,1,,Customer 17,,Customer 29,,Customer 3,
5,-123.1495565,49.2345149,Quilchena Elementary,FALSE,2,,Customer 19,,Customer 30,,Customer 5,
6,-123.1487115,49.23451485,Quilchena Elementary,FALSE,1,,Customer 14,,Customer 22,,,
7,-123.1489027,49.23452609,Quilchena Elementary,FALSE,1,,Customer 15,,Customer 21,,,
8,-123.1522132,49.23457521,Quilchena Elementary,FALSE,2,,,,Customer 20,,,
9,-123.1525066,49.23457937,Quilchena Elementary,TRUE,2,,,,Customer 26,,,
10,-123.1579947,49.23658461,Quilchena Elementary,FALSE,2,,,,Customer 12,,,
11,-123.1557118,49.23499942,Quilchena Elementary,FALSE,2,,,,Customer 11,,,
12,-123.1549711,49.23987207,Quilchena Elementary,FALSE,4,,,,Customer 10,,,
13,-123.1487049,49.24172496,Quilchena Elementary,TRUE,3,,,,,,,
14,-123.1508112,49.24207434,Quilchena Elementary,FALSE,4,,,,,,,
15,-123.1508522,49.24207448,Quilchena Elementary,FALSE,4,,,,,,,
16,-123.1501135,49.24206419,Quilchena Elementary,FALSE,4,,,,,,,
17,-123.1504514,49.24206902,Quilchena Elementary,FALSE,4,,,,,,,
18,-123.1504753,49.24207284,Quilchena Elementary,TRUE,4,,,,,,,
19,-123.1507434,49.2420751,Quilchena Elementary,FALSE,4,,,,,,,
20,-123.1393909,49.24187802,Quilchena Elementary,FALSE,5,,,,,,,
21,-123.1393409,49.24185996,Quilchena Elementary,FALSE,5,,,,,,,
22,-123.1393783,49.24186524,Quilchena Elementary,FALSE,5,,,,,,,
23,-123.1399616,49.23909728,Quilchena Elementary,TRUE,5,,,,,,,
24,-123.1457131,49.24199402,Quilchena Elementary,FALSE,6,,,,,,,
25,-123.1458213,49.24199497,Quilchena Elementary,TRUE,6,,,,,,,
26,-123.1448212,49.24151987,Quilchena Elementary,FALSE,6,,,,,,,
27,-123.1468447,49.23873977,Quilchena Elementary,FALSE,7,,,,,,,
28,-123.1463756,49.24036203,Quilchena Elementary,TRUE,7,,,,,,,
29,-123.1395623,49.23544961,Quilchena Elementary,FALSE,5,,,,,,,
30,-123.1393688,49.24151957,Quilchena Elementary,FALSE,5,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,49.23764,-123.1514,,,,,,,,,,
