,x,y,region,leader,clusters,V1,V2,V3,V4,V5,V6,V7,V8
1,-123.1128538,49.25413847,Simon Fraser Elementary,FALSE,1,Customer 7,Customer 13,Customer 28,Customer 27,Customer 24,Customer 26,Customer 5,Customer 14
2,-123.1134615,49.25659127,Simon Fraser Elementary,FALSE,1,,Customer 15,Customer 11,Customer 8,Customer 22,Customer 23,Customer 1,
3,-123.1102898,49.25537419,Simon Fraser Elementary,FALSE,2,,Customer 29,Customer 12,Customer 6,Customer 18,Customer 25,Customer 10,
4,-123.1099333,49.25516439,Simon Fraser Elementary,FALSE,2,,Customer 30,,,,Customer 17,Customer 3,
5,-123.1147178,49.2553654,Simon Fraser Elementary,TRUE,1,,Customer 16,,,,Customer 21,Customer 4,
6,-123.1113654,49.25716521,Simon Fraser Elementary,FALSE,2,,,,,,Customer 20,,
7,-123.109603,49.25798761,Simon Fraser Elementary,TRUE,2,,,,,,Customer 19,,
8,-123.1128663,49.25803359,Simon Fraser Elementary,FALSE,7,,,,,,Customer 2,,
9,-123.1094994,49.25699173,Simon Fraser Elementary,FALSE,2,,,,,,Customer 9,,
10,-123.110761,49.25598086,Simon Fraser Elementary,FALSE,2,,,,,,,,
11,-123.1051996,49.25667135,Simon Fraser Elementary,FALSE,2,,,,,,,,
12,-123.1057578,49.25495663,Simon Fraser Elementary,FALSE,2,,,,,,,,
13,-123.1008926,49.26423508,Simon Fraser Elementary,TRUE,3,,,,,,,,
14,-123.1009042,49.26417343,Simon Fraser Elementary,TRUE,4,,,,,,,,
15,-123.1008945,49.26425061,Simon Fraser Elementary,FALSE,3,,,,,,,,
16,-123.104809,49.26662235,Simon Fraser Elementary,FALSE,8,,,,,,,,
17,-123.1147965,49.26297418,Simon Fraser Elementary,FALSE,6,,,,,,,,
18,-123.1149023,49.26164916,Simon Fraser Elementary,FALSE,5,,,,,,,,
19,-123.1149146,49.26130422,Simon Fraser Elementary,FALSE,5,,,,,,,,
20,-123.1149065,49.26189357,Simon Fraser Elementary,FALSE,5,,,,,,,,
21,-123.1148296,49.2624554,Simon Fraser Elementary,FALSE,6,,,,,,,,
22,-123.1148709,49.2617127,Simon Fraser Elementary,FALSE,5,,,,,,,,
23,-123.1147914,49.26303013,Simon Fraser Elementary,FALSE,6,,,,,,,,
24,-123.1148984,49.26176896,Simon Fraser Elementary,TRUE,5,,,,,,,,
25,-123.1147981,49.26316233,Simon Fraser Elementary,FALSE,6,,,,,,,,
26,-123.1148578,49.26250682,Simon Fraser Elementary,TRUE,6,,,,,,,,
27,-123.1140233,49.25964163,Simon Fraser Elementary,TRUE,7,,,,,,,,
28,-123.1044185,49.26271641,Simon Fraser Elementary,TRUE,8,,,,,,,,
29,-123.1007663,49.26828387,Simon Fraser Elementary,FALSE,3,,,,,,,,
30,-123.1020744,49.27301201,Simon Fraser Elementary,FALSE,3,,,,,,,,
,,,,,,,,,,,,,
,49.25717,-123.1084,,,,,,,,,,,
