,x,y,region,leader,clusters,V1,V2,V3,V4,V5,V6
1,-123.0294044,49.24167735,Sir Wilfred Grenfell Community,FALSE,5,Customer 4,Customer 26,Customer 11,Customer 27,Customer 10,Customer 2
2,-123.0333641,49.23944899,Sir Wilfred Grenfell Community,TRUE,1,Customer 6,Customer 24,Customer 19,Customer 8,Customer 9,
3,-123.0374879,49.24258552,Sir Wilfred Grenfell Community,FALSE,2,Customer 5,Customer 25,Customer 20,Customer 7,Customer 12,
4,-123.0389937,49.24424324,Sir Wilfred Grenfell Community,TRUE,2,Customer 3,Customer 23,Customer 15,,Customer 13,
5,-123.0388721,49.24402584,Sir Wilfred Grenfell Community,FALSE,2,,Customer 28,Customer 16,,Customer 17,
6,-123.0416543,49.24472084,Sir Wilfred Grenfell Community,FALSE,2,,Customer 22,Customer 14,,Customer 18,
7,-123.0352305,49.24628691,Sir Wilfred Grenfell Community,FALSE,6,,Customer 21,Customer 30,,,
8,-123.03603,49.24625189,Sir Wilfred Grenfell Community,FALSE,6,,Customer 1,Customer 29,,,
9,-123.0422897,49.23599717,Sir Wilfred Grenfell Community,FALSE,3,,,,,,
10,-123.0422945,49.23599226,Sir Wilfred Grenfell Community,TRUE,3,,,,,,
11,-123.0401853,49.23630883,Sir Wilfred Grenfell Community,TRUE,4,,,,,,
12,-123.0395514,49.23688852,Sir Wilfred Grenfell Community,FALSE,4,,,,,,
13,-123.0382837,49.23731559,Sir Wilfred Grenfell Community,FALSE,4,,,,,,
14,-123.0361645,49.23697173,Sir Wilfred Grenfell Community,FALSE,1,,,,,,
15,-123.0374938,49.23577365,Sir Wilfred Grenfell Community,FALSE,4,,,,,,
16,-123.0373603,49.23599552,Sir Wilfred Grenfell Community,FALSE,4,,,,,,
17,-123.0373078,49.23829837,Sir Wilfred Grenfell Community,FALSE,4,,,,,,
18,-123.0373353,49.24037826,Sir Wilfred Grenfell Community,FALSE,1,,,,,,
19,-123.035987,49.23418525,Sir Wilfred Grenfell Community,FALSE,4,,,,,,
20,-123.0361042,49.2342331,Sir Wilfred Grenfell Community,FALSE,4,,,,,,
21,-123.0284015,49.24182351,Sir Wilfred Grenfell Community,FALSE,5,,,,,,
22,-123.028736,49.2434773,Sir Wilfred Grenfell Community,FALSE,5,,,,,,
23,-123.028518,49.24575549,Sir Wilfred Grenfell Community,FALSE,5,,,,,,
24,-123.0321736,49.24481005,Sir Wilfred Grenfell Community,FALSE,6,,,,,,
25,-123.0314608,49.24534587,Sir Wilfred Grenfell Community,FALSE,5,,,,,,
26,-123.0304451,49.24514167,Sir Wilfred Grenfell Community,TRUE,5,,,,,,
27,-123.0329782,49.24625322,Sir Wilfred Grenfell Community,TRUE,6,,,,,,
28,-123.0307002,49.24624851,Sir Wilfred Grenfell Community,FALSE,5,,,,,,
29,-123.0343754,49.23738784,Sir Wilfred Grenfell Community,FALSE,1,,,,,,
30,-123.0357494,49.23745465,Sir Wilfred Grenfell Community,FALSE,1,,,,,,
