,x,y,leader,clusters,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
1,-123.1399626,49.22177821,TRUE,1,Customer 24,Customer 5,Customer 8,Customer 15,Customer 3,Customer 29,Customer 30,Customer 23,Customer 16,Customer 28,Customer 1,Customer 2,Customer 9,Customer 6
2,-123.1374315,49.22096298,TRUE,2,,,,Customer 17,Customer 10,,,Customer 20,Customer 22,,Customer 14,Customer 4,Customer 11,
3,-123.1382269,49.2221935,TRUE,3,,,,Customer 25,,,,,Customer 18,,Customer 19,Customer 13,Customer 12,
4,-123.1369274,49.22044129,FALSE,2,,,,Customer 27,,,,,,,,,,
5,-123.1357123,49.22540428,TRUE,4,,,,Customer 26,,,,,,,,,,
6,-123.1295164,49.22086045,TRUE,5,,,,Customer 7,,,,,,,,,,
7,-123.1278418,49.24010598,FALSE,7,,,,Customer 21,,,,,,,,,,
8,-123.1278878,49.24091439,TRUE,6,,,,,,,,,,,,,,
9,-123.1279109,49.24049712,TRUE,7,,,,,,,,,,,,,,
10,-123.1281828,49.2295691,FALSE,11,,,,,,,,,,,,,,
11,-123.1281414,49.23121435,FALSE,11,,,,,,,,,,,,,,
12,-123.1281406,49.23094841,FALSE,11,,,,,,,,,,,,,,
13,-123.1293707,49.22721894,FALSE,12,,,,,,,,,,,,,,
14,-123.1395583,49.22772981,FALSE,4,,,,,,,,,,,,,,
15,-123.1330549,49.24165541,TRUE,8,,,,,,,,,,,,,,
16,-123.1391546,49.24188825,TRUE,9,,,,,,,,,,,,,,
17,-123.1345512,49.24170589,FALSE,8,,,,,,,,,,,,,,
18,-123.1365289,49.23559308,FALSE,11,,,,,,,,,,,,,,
19,-123.1388452,49.23465649,FALSE,11,,,,,,,,,,,,,,
20,-123.1323225,49.23651541,FALSE,11,,,,,,,,,,,,,,
21,-123.1344682,49.23941378,FALSE,8,,,,,,,,,,,,,,
22,-123.1364075,49.24001362,FALSE,9,,,,,,,,,,,,,,
23,-123.1283669,49.23763461,TRUE,10,,,,,,,,,,,,,,
24,-123.1317246,49.23438997,TRUE,11,,,,,,,,,,,,,,
25,-123.1307776,49.24155504,FALSE,8,,,,,,,,,,,,,,
26,-123.1277948,49.2414788,FALSE,6,,,,,,,,,,,,,,
27,-123.1278125,49.24149852,FALSE,6,,,,,,,,,,,,,,
28,-123.1284719,49.2215319,TRUE,12,,,,,,,,,,,,,,
29,-123.1284724,49.22152273,TRUE,13,,,,,,,,,,,,,,
30,-123.12847,49.22144531,TRUE,14,,,,,,,,,,,,,,
