,x,y,leader,clusters,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-123.1881222,49.24202865,FALSE,1,Customer 27,Customer 9,Customer 6,Customer 13,Customer 20,Customer 19,Customer 21,Customer 18,Customer 17
2,-123.1869696,49.24336288,FALSE,1,Customer 28,Customer 10,Customer 3,,,Customer 22,,Customer 24,
3,-123.1852223,49.24164648,FALSE,1,Customer 30,Customer 12,Customer 8,,,,,,
4,-123.1852338,49.24151084,FALSE,1,Customer 29,Customer 11,Customer 2,,,,,,
5,-123.1852343,49.24086386,FALSE,1,,Customer 14,Customer 4,,,,,,
6,-123.1852302,49.24140041,TRUE,1,,Customer 16,Customer 7,,,,,,
7,-123.1852253,49.24095464,FALSE,1,,Customer 15,Customer 5,,,,,,
8,-123.1852136,49.24236677,FALSE,1,,,Customer 1,,,,,,
9,-123.1852672,49.23443695,TRUE,2,,,Customer 26,,,,,,
10,-123.1852794,49.23302672,FALSE,2,,,Customer 25,,,,,,
11,-123.1861053,49.22894543,FALSE,2,,,Customer 23,,,,,,
12,-123.1855999,49.22931587,FALSE,2,,,,,,,,,
13,-123.1930624,49.23472175,TRUE,3,,,,,,,,,
14,-123.1872414,49.23422884,FALSE,2,,,,,,,,,
15,-123.190583,49.23392258,FALSE,7,,,,,,,,,
16,-123.1897612,49.23351938,FALSE,7,,,,,,,,,
17,-123.1942598,49.2325619,TRUE,4,,,,,,,,,
18,-123.1918745,49.23706492,TRUE,5,,,,,,,,,
19,-123.1894541,49.23826412,TRUE,6,,,,,,,,,
20,-123.1902116,49.23548293,TRUE,7,,,,,,,,,
21,-123.1883411,49.23796472,TRUE,8,,,,,,,,,
22,-123.1950705,49.23835482,FALSE,5,,,,,,,,,
23,-123.1904857,49.24041225,FALSE,6,,,,,,,,,
24,-123.1963826,49.23715943,FALSE,3,,,,,,,,,
25,-123.1889721,49.24105541,FALSE,6,,,,,,,,,
26,-123.1896076,49.24076392,FALSE,6,,,,,,,,,
27,-123.1942525,49.24604829,TRUE,9,,,,,,,,,
28,-123.1932909,49.24618198,FALSE,9,,,,,,,,,
29,-123.1967569,49.24628742,FALSE,9,,,,,,,,,
30,-123.1967652,49.24624932,FALSE,9,,,,,,,,,
