,x,y,leader,clusters,V1,V2,V3,V4,V5,V6,V7
1,-123.1273994,49.20160541,FALSE,7,Customer 6,Customer 30,Customer 11,Customer 15,Customer 21,Customer 10,Customer 18
2,-123.1294456,49.20288512,FALSE,7,Customer 4,Customer 1,Customer 12,Customer 16,,Customer 8,Customer 19
3,-123.1412433,49.20638493,FALSE,1,Customer 3,Customer 2,Customer 13,Customer 17,,Customer 9,Customer 27
4,-123.1414534,49.20564499,FALSE,1,Customer 5,Customer 28,Customer 14,Customer 7,,Customer 20,Customer 26
5,-123.1409554,49.20835303,FALSE,1,,Customer 29,Customer 22,,,,Customer 25
6,-123.1411531,49.2061612,TRUE,1,,Customer 24,,,,,Customer 23
7,-123.1480251,49.20889974,FALSE,4,,,,,,,
8,-123.1400415,49.21911929,FALSE,2,,,,,,,
9,-123.1400339,49.21908311,FALSE,2,,,,,,,
10,-123.1400719,49.21931666,TRUE,2,,,,,,,
11,-123.1394443,49.21936401,TRUE,3,,,,,,,
12,-123.13456,49.21930734,FALSE,6,,,,,,,
13,-123.1292739,49.21923887,FALSE,5,,,,,,,
14,-123.1338869,49.21929197,FALSE,6,,,,,,,
15,-123.145721,49.20716698,TRUE,4,,,,,,,
16,-123.1432589,49.20494402,FALSE,1,,,,,,,
17,-123.1488074,49.20834354,FALSE,4,,,,,,,
18,-123.1299459,49.21511588,TRUE,5,,,,,,,
19,-123.1301822,49.21532379,FALSE,5,,,,,,,
20,-123.1390866,49.21764051,FALSE,3,,,,,,,
21,-123.1369079,49.21771138,TRUE,6,,,,,,,
22,-123.1380563,49.21370814,FALSE,6,,,,,,,
23,-123.1349456,49.21190341,FALSE,7,,,,,,,
24,-123.1372331,49.20944534,FALSE,7,,,,,,,
25,-123.1323973,49.21176708,FALSE,5,,,,,,,
26,-123.1316632,49.20987934,FALSE,5,,,,,,,
27,-123.1301687,49.21109719,FALSE,5,,,,,,,
28,-123.1356718,49.20108944,FALSE,7,,,,,,,
29,-123.136168,49.20386522,FALSE,7,,,,,,,
30,-123.1369779,49.20692844,TRUE,7,,,,,,,
