,x,y,leader,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-123.1521291,49.24208523,TRUE,Customer 22,Customer 1,Customer 6,Customer 18,Customer 15,Customer 10,Customer 8,Customer 17,Customer 21
2,-123.1479978,49.24202379,FALSE,Depot,Customer 4,Customer 9,Customer 19,Customer 30,Depot,Depot,Customer 16,Depot
3,-123.1510635,49.24207646,FALSE,,Customer 5,Customer 7,Customer 20,Customer 29,,,Customer 27,
4,-123.1523837,49.24209243,FALSE,,Customer 3,Depot,Depot,Customer 13,,,Customer 14,
5,-123.1515783,49.24207948,FALSE,,Customer 2,,,Customer 12,,,Customer 28,
6,-123.1528503,49.24417577,TRUE,,Customer 26,,,Customer 11,,,Depot,
7,-123.1510285,49.24561115,FALSE,,Customer 25,,,Depot,,,,
8,-123.1519784,49.24771555,TRUE,,Customer 24,,,,,,,
9,-123.1522217,49.24812681,FALSE,,Customer 23,,,,,,,
10,-123.1528964,49.25722978,TRUE,,Depot,,,,,,,
11,-123.1529031,49.25727011,FALSE,,,,,,,,,
12,-123.152901,49.2573198,FALSE,,,,,,,,,
13,-123.1529321,49.25747683,FALSE,,,,,,,,,
14,-123.144474,49.25739231,FALSE,,,,,,,,,
15,-123.1455691,49.25835169,TRUE,,,,,,,,,
16,-123.1364497,49.25803357,FALSE,,,,,,,,,
17,-123.1338868,49.25790325,TRUE,,,,,,,,,
18,-123.131915,49.25717844,TRUE,,,,,,,,,
19,-123.1335456,49.25217638,FALSE,,,,,,,,,
20,-123.1304058,49.2466606,FALSE,,,,,,,,,
21,-123.1351877,49.25085968,TRUE,,,,,,,,,
22,-123.1486228,49.25022123,TRUE,,,,,,,,,
23,-123.1463376,49.24435149,FALSE,,,,,,,,,
24,-123.1368901,49.24179777,FALSE,,,,,,,,,
25,-123.1369188,49.24179899,FALSE,,,,,,,,,
26,-123.1369157,49.24179887,FALSE,,,,,,,,,
27,-123.1392342,49.25697066,FALSE,,,,,,,,,
28,-123.1474216,49.25419729,FALSE,,,,,,,,,
29,-123.1529591,49.25944491,FALSE,,,,,,,,,
30,-123.1503089,49.26027958,FALSE,,,,,,,,,
