,x,y,leader,V1,V2,V3,V4,V5,V6,V7,V8
1,-123.1118139,49.25419349,FALSE,Customer 9,Customer 30,Customer 7,Customer 13,Customer 26,Customer 24,Customer 11,Customer 23
2,-123.1101418,49.25410276,FALSE,Customer 4,Customer 20,Depot,Customer 27,Customer 25,Customer 5,Customer 8,Customer 22
3,-123.1126219,49.25560043,FALSE,Customer 1,Customer 29,,Depot,Depot,Depot,Depot,Customer 21
4,-123.1106347,49.25488108,FALSE,Customer 3,Customer 19,,,,,,Depot
5,-123.1091997,49.25742677,FALSE,Customer 6,Customer 28,,,,,,
6,-123.1112856,49.25627614,FALSE,Depot,Customer 18,,,,,,
7,-123.1051631,49.25568985,TRUE,,Customer 17,,,,,,
8,-123.1037668,49.25482082,FALSE,,Customer 16,,,,,,
9,-123.1096039,49.25467481,TRUE,,Customer 14,,,,,,
10,-123.107307,49.25378882,FALSE,,Customer 15,,,,,,
11,-123.1028535,49.25472089,TRUE,,Customer 12,,,,,,
12,-123.100859,49.2537796,FALSE,,Customer 10,,,,,,
13,-123.101171,49.25647863,TRUE,,Customer 2,,,,,,
14,-123.1011866,49.25639321,FALSE,,Depot,,,,,,
15,-123.1012241,49.25603243,FALSE,,,,,,,,
16,-123.1011703,49.25745868,FALSE,,,,,,,,
17,-123.101174,49.25878186,FALSE,,,,,,,,
18,-123.1009532,49.26289061,FALSE,,,,,,,,
19,-123.1043501,49.26620238,FALSE,,,,,,,,
20,-123.104484,49.2717646,FALSE,,,,,,,,
21,-123.1149114,49.26138314,FALSE,,,,,,,,
22,-123.1149115,49.26211749,FALSE,,,,,,,,
23,-123.1148575,49.26299329,TRUE,,,,,,,,
24,-123.1073926,49.26230413,TRUE,,,,,,,,
25,-123.1052171,49.2616264,FALSE,,,,,,,,
26,-123.1031375,49.26147554,TRUE,,,,,,,,
27,-123.102995,49.25670501,FALSE,,,,,,,,
28,-123.1043643,49.26424602,FALSE,,,,,,,,
29,-123.1007407,49.26838874,FALSE,,,,,,,,
30,-123.1021048,49.27304921,TRUE,,,,,,,,
